HS CODE,PRODUCT DESCRIPTION,CONSIGNEE,CONSIGNEE ADDRESS,COUNTRY OF ORIGIN,ARRIVAL DATE,QUANTITY,UNIT,UNIT PRICE IN USD,CURRENCY,PRICE IN INR,TOTAL PRICE IN INR,INDIAN PORT,TRANSPORTATION TYPE,BILL OF LADING
39151000,PLASTIC SCRAP ( NON HAZARDUS ) SIL NO 0350003088 DT 11.02.2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,21420,KGS,0.33,USD,21.28,455925,Nhava Sheva Sea,SEA,5112777
39151000,PLASTIC SCRAP ( NON HAZARDUS ) SIL NO 0350003088 DT 11.02.2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,3000,KGS,0.33,USD,21.28,63855,Nhava Sheva Sea,SEA,5112777
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,106220,KGS,0.33,USD,21.3,2263010,Nhava Sheva Sea,SEA,5113096
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,3000,KGS,0.33,USD,21.3,63914.9,Nhava Sheva Sea,SEA,5113096
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/ - 2016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,3580,KGS,0.25,USD,16.12,57727.5,Nhava Sheva Sea,SEA,5113142
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/ - 2016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,110420,KGS,0.25,USD,16.12,1780520,Nhava Sheva Sea,SEA,5113142
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,209700,KGS,0.35,USD,22.7,4760240,Nhava Sheva Sea,SEA,4909915
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,3000,KGS,0.35,USD,22.7,68100.6,Nhava Sheva Sea,SEA,4909915
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,17000,KGS,0.42,USD,26.92,457596,Nhava Sheva Sea,SEA,4909918
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,2680,KGS,0.42,USD,26.92,72138.6,Nhava Sheva Sea,SEA,4909918
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,218000,KGS,0.26,USD,16.87,3677240,Nhava Sheva Sea,SEA,4909914
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,3910,KGS,0.26,USD,16.87,65954.1,Nhava Sheva Sea,SEA,4909914
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,CANADA,2018-01-05,3175,KGS,0.33,USD,20.98,66622.6,Nhava Sheva Sea,SEA,4697457
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,CANADA,2018-01-05,27800,KGS,0.33,USD,20.98,583341,Nhava Sheva Sea,SEA,4697457
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-01,18800,KGS,0.35,USD,22.72,427042,Nhava Sheva Sea,SEA,4637032
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-01,700,KGS,0.35,USD,22.72,15900.5,Nhava Sheva Sea,SEA,4637032
