E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,01,"PORTLAND, ME",2020,02,1,158780,30237,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,02,"ST. ALBANS, VT",2020,02,2,37604,24724,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,04,"BOSTON, MA",2020,02,5,90000,23400,0,0,23400,90576,23400,90576,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,07,"OGDENSBURG, NY",2020,02,13,186292,114932,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,09,"BUFFALO, NY",2020,02,5,193073,30193,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,10,"NEW YORK CITY, NY",2020,02,94,4923256,1605478,0,0,1605478,5002725,1605478,5002725,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,11,"PHILADELPHIA, PA",2020,02,1,4,3684,3684,4,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,13,"BALTIMORE, MD",2020,02,3,54000,13500,0,0,13500,54432,13500,54432,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,14,"NORFOLK, VA",2020,02,28,1024670,260339,0,0,260339,1025390,257339,1001880,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,16,"CHARLESTON, SC",2020,02,37,1961382,595578,0,0,595578,1965282,595578,1965282,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,17,"SAVANNAH, GA",2020,02,28,1052578,376784,0,0,376784,1058133,373784,1038163,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,18,"TAMPA, FL",2020,02,7,428941,129380,0,0,129380,430085,129380,430085,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,20,"NEW ORLEANS, LA",2020,02,1,622,5760,5760,622,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,23,"LAREDO, TX",2020,02,23,289044,189611,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,24,"EL PASO, TX",2020,02,4,74132,33068,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,25,"SAN DIEGO, CA",2020,02,22,424064,88824,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,27,"LOS ANGELES, CA",2020,02,102,3938485,1364009,0,0,1364009,3950749,1336009,3823608,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,28,"SAN FRANCISCO, CA",2020,02,33,1491897,440881,0,0,440881,1494489,431881,1444788,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,30,"SEATTLE, WA",2020,02,75,1672691,1504828,0,0,960600,257924,65600,218062,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,31,"ANCHORAGE, AK",2020,02,1,8,4926,4926,8,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,32,"HONOLULU, HI",2020,02,5,90000,22500,0,0,22500,90720,22500,90720,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,33,"GREAT FALLS, MT",2020,02,20,373355,77598,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,34,"PEMBINA, ND",2020,02,2,36221,25320,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,36,"DULUTH, MN",2020,02,4,70474,18400,0,0,12200,53237,6200,17237,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,38,"DETROIT, MI",2020,02,17,314668,133493,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,39,"CHICAGO, IL",2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,41,"CLEVELAND, OH",2020,02,3,13,10982,10982,13,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,49,"SAN JUAN, PR",2020,02,6,293136,84814,0,0,84814,298353,84814,298353,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,52,"MIAMI, FL",2020,02,4,128346,26240,0,0,26240,128634,26240,128634,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,53,"HOUSTON-GALVESTON, TX",2020,02,43,2018652,932675,0,0,932675,2031354,932675,2031354,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,70,LOW VALUE,2020,02,2,563917,37154,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2020,02,591,21890305,8209312,25352,647,6848378,17932083,5904378,17635899,2020,02,3915100000
3915100000,KG,-,0003,EUROPEAN UNION,-,TOTAL FOR ALL DISTRICTS,2020,02,14,337607,1175082,14666,17,1160416,342794,265416,302932,2020,02,3915100000
3915100000,KG,-,0014,PACIFIC RIM COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2020,02,199,7641818,2194469,4926,8,2189543,7697701,2140543,7441379,2020,02,3915100000
3915100000,KG,-,0017,CAFTA-DR,-,TOTAL FOR ALL DISTRICTS,2020,02,29,786709,418459,0,0,418459,794913,418459,794913,2020,02,3915100000
3915100000,KG,-,0020,NAFTA,-,TOTAL FOR ALL DISTRICTS,2020,02,165,3796714,1285830,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,0021,TWENTY LATIN AMERICAN REPUBLICS,-,TOTAL FOR ALL DISTRICTS,2020,02,85,2409490,1146201,0,0,834698,1630454,834698,1630454,2020,02,3915100000
3915100000,KG,-,0022,OECD,-,TOTAL FOR ALL DISTRICTS,2020,02,241,7092706,3202507,20426,639,1857199,3045866,953199,2948833,2020,02,3915100000
3915100000,KG,-,0023,NATO,-,TOTAL FOR ALL DISTRICTS,2020,02,180,5999018,2789085,20426,639,1755280,2741998,860280,2702136,2020,02,3915100000
3915100000,KG,-,0024,LAFTA,-,TOTAL FOR ALL DISTRICTS,2020,02,56,1622781,727742,0,0,416239,835541,416239,835541,2020,02,3915100000
3915100000,KG,-,0025,EURO AREA,-,TOTAL FOR ALL DISTRICTS,2020,02,10,337590,1160416,0,0,1160416,342794,265416,302932,2020,02,3915100000
3915100000,KG,-,0026,APEC,-,TOTAL FOR ALL DISTRICTS,2020,02,440,14959311,4499747,4926,8,3198291,11191757,3149291,10935435,2020,02,3915100000
3915100000,KG,-,0027,ASEAN,-,TOTAL FOR ALL DISTRICTS,2020,02,208,8590646,2431821,4926,8,2416195,8605596,2407195,8557562,2020,02,3915100000
3915100000,KG,-,0028,CACM,-,TOTAL FOR ALL DISTRICTS,2020,02,29,786709,418459,0,0,418459,794913,418459,794913,2020,02,3915100000
3915100000,KG,-,1220,CANADA,-,TOTAL FOR ALL DISTRICTS,2020,02,116,3009474,974327,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,1XXX,NORTH AMERICA,-,TOTAL FOR ALL DISTRICTS,2020,02,165,3796714,1285830,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,2010,MEXICO,-,TOTAL FOR ALL DISTRICTS,2020,02,49,787240,311503,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,2050,GUATEMALA,-,TOTAL FOR ALL DISTRICTS,2020,02,12,236321,113353,0,0,113353,243153,113353,243153,2020,02,3915100000
3915100000,KG,-,2110,EL SALVADOR,-,TOTAL FOR ALL DISTRICTS,2020,02,14,479585,276367,0,0,276367,480025,276367,480025,2020,02,3915100000
3915100000,KG,-,2150,HONDURAS,-,TOTAL FOR ALL DISTRICTS,2020,02,3,70803,28739,0,0,28739,71735,28739,71735,2020,02,3915100000
3915100000,KG,-,2230,COSTA RICA,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,2XXX,CENTRAL AMERICA,-,TOTAL FOR ALL DISTRICTS,2020,02,29,786709,418459,0,0,418459,794913,418459,794913,2020,02,3915100000
3915100000,KG,-,3010,COLOMBIA,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,3310,ECUADOR,-,TOTAL FOR ALL DISTRICTS,2020,02,7,835541,416239,0,0,416239,835541,416239,835541,2020,02,3915100000
3915100000,KG,-,3510,BRAZIL,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,3XXX,SOUTH AMERICA,-,TOTAL FOR ALL DISTRICTS,2020,02,7,835541,416239,0,0,416239,835541,416239,835541,2020,02,3915100000
3915100000,KG,-,4120,UNITED KINGDOM,-,TOTAL FOR ALL DISTRICTS,2020,02,4,57790,19252,5760,622,13492,57168,13492,57168,2020,02,3915100000
3915100000,KG,-,4231,BELGIUM,-,TOTAL FOR ALL DISTRICTS,2020,02,2,39862,895000,0,0,895000,39862,0,0,2020,02,3915100000
3915100000,KG,-,4280,GERMANY,-,TOTAL FOR ALL DISTRICTS,2020,02,1,19550,116362,0,0,116362,19550,116362,19550,2020,02,3915100000
3915100000,KG,-,4330,AUSTRIA,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,4351,CZECH REPUBLIC,-,TOTAL FOR ALL DISTRICTS,2020,02,4,17,14666,14666,17,0,0,0,0,2020,02,3915100000
3915100000,KG,-,4370,HUNGARY,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,4490,LATVIA,-,TOTAL FOR ALL DISTRICTS,2020,02,1,72335,31353,0,0,31353,74650,31353,74650,2020,02,3915100000
3915100000,KG,-,4510,LITHUANIA,-,TOTAL FOR ALL DISTRICTS,2020,02,1,90268,22357,0,0,22357,93157,22357,93157,2020,02,3915100000
3915100000,KG,-,4700,SPAIN,-,TOTAL FOR ALL DISTRICTS,2020,02,3,100000,69000,0,0,69000,100000,69000,100000,2020,02,3915100000
3915100000,KG,-,4759,ITALY,-,TOTAL FOR ALL DISTRICTS,2020,02,2,15575,26344,0,0,26344,15575,26344,15575,2020,02,3915100000
3915100000,KG,-,4890,TURKEY,-,TOTAL FOR ALL DISTRICTS,2020,02,46,2594147,620424,0,0,581372,2342036,581372,2342036,2020,02,3915100000
3915100000,KG,-,4XXX,EUROPE,-,TOTAL FOR ALL DISTRICTS,2020,02,64,2989544,1814758,20426,639,1755280,2741998,860280,2702136,2020,02,3915100000
3915100000,KG,-,5200,UNITED ARAB EMIRATES,-,TOTAL FOR ALL DISTRICTS,2020,02,1,17770,21000,0,0,21000,50646,21000,50646,2020,02,3915100000
3915100000,KG,-,5230,OMAN,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,5330,INDIA,-,TOTAL FOR ALL DISTRICTS,2020,02,20,710519,281555,0,0,281555,725077,281555,725077,2020,02,3915100000
3915100000,KG,-,5350,PAKISTAN,-,TOTAL FOR ALL DISTRICTS,2020,02,11,826999,455863,0,0,455863,826999,455863,826999,2020,02,3915100000
3915100000,KG,-,5380,BANGLADESH,-,TOTAL FOR ALL DISTRICTS,2020,02,5,248680,83465,0,0,83465,248680,83465,248680,2020,02,3915100000
3915100000,KG,-,5460,BURMA,-,TOTAL FOR ALL DISTRICTS,2020,02,0,0,0,0,0,0,0,0,0,2020,02,3915100000
3915100000,KG,-,5490,THAILAND,-,TOTAL FOR ALL DISTRICTS,2020,02,22,748120,287615,0,0,281415,730883,281415,730883,2020,02,3915100000
3915100000,KG,-,5520,VIETNAM,-,TOTAL FOR ALL DISTRICTS,2020,02,54,2772659,731833,0,0,727333,2763173,727333,2763173,2020,02,3915100000
3915100000,KG,-,5570,MALAYSIA,-,TOTAL FOR ALL DISTRICTS,2020,02,112,4126839,1107382,0,0,1107382,4166530,1098382,4118496,2020,02,3915100000
3915100000,KG,-,5590,SINGAPORE,-,TOTAL FOR ALL DISTRICTS,2020,02,4,46808,22926,4926,8,18000,46800,18000,46800,2020,02,3915100000
3915100000,KG,-,5600,INDONESIA,-,TOTAL FOR ALL DISTRICTS,2020,02,15,878220,277565,0,0,277565,880066,277565,880066,2020,02,3915100000
3915100000,KG,-,5650,PHILIPPINES,-,TOTAL FOR ALL DISTRICTS,2020,02,1,18000,4500,0,0,4500,18144,4500,18144,2020,02,3915100000
