E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,0003,EUROPEAN UNION,-,TOTAL FOR ALL DISTRICTS,2022,04,13,274402,281520,0,0,281520,284187,281520,284187,2022,04,3915100000
3915100000,KG,-,0014,PACIFIC RIM COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2022,04,103,4513895,2532765,0,0,2532765,4534622,2523973,4515674,2022,04,3915100000
3915100000,KG,-,0017,CAFTA-DR,-,TOTAL FOR ALL DISTRICTS,2022,04,38,1850890,2618306,0,0,2618306,1873098,2548606,1812898,2022,04,3915100000
3915100000,KG,-,0020,NAFTA,-,TOTAL FOR ALL DISTRICTS,2022,04,159,3313202,1946487,0,0,0,0,0,0,2022,04,3915100000
3915100000,KG,-,0021,TWENTY LATIN AMERICAN REPUBLICS,-,TOTAL FOR ALL DISTRICTS,2022,04,109,3457216,3815756,4086,159,3387287,2852495,3317587,2792295,2022,04,3915100000
3915100000,KG,-,0022,OECD,-,TOTAL FOR ALL DISTRICTS,2022,04,187,3960109,2480497,4086,159,529924,659574,529924,659574,2022,04,3915100000
3915100000,KG,-,0023,NATO,-,TOTAL FOR ALL DISTRICTS,2022,04,139,3299870,1965074,0,0,442970,626264,442970,626264,2022,04,3915100000
3915100000,KG,-,0024,LAFTA,-,TOTAL FOR ALL DISTRICTS,2022,04,71,1606326,1197450,4086,159,768981,979397,768981,979397,2022,04,3915100000
3915100000,KG,-,0025,EURO AREA,-,TOTAL FOR ALL DISTRICTS,2022,04,13,274402,281520,0,0,281520,284187,281520,284187,2022,04,3915100000
3915100000,KG,-,0026,APEC,-,TOTAL FOR ALL DISTRICTS,2022,04,307,8895883,5146139,4086,159,3195566,5606209,3186774,5587261,2022,04,3915100000
3915100000,KG,-,0027,ASEAN,-,TOTAL FOR ALL DISTRICTS,2022,04,131,5089447,2814375,0,0,2814375,5107235,2814375,5107235,2022,04,3915100000
3915100000,KG,-,0028,CACM,-,TOTAL FOR ALL DISTRICTS,2022,04,35,1780009,2516086,0,0,2516086,1802217,2446386,1742017,2022,04,3915100000
3915100000,KG,-,1220,CANADA,-,TOTAL FOR ALL DISTRICTS,2022,04,115,2686432,1522104,0,0,0,0,0,0,2022,04,3915100000
3915100000,KG,-,1XXX,NORTH AMERICA,-,TOTAL FOR ALL DISTRICTS,2022,04,159,3313202,1946487,0,0,0,0,0,0,2022,04,3915100000
3915100000,KG,-,2010,MEXICO,-,TOTAL FOR ALL DISTRICTS,2022,04,44,626770,424383,0,0,0,0,0,0,2022,04,3915100000
