E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,02,"ST. ALBANS, VT",2017,01,4,74735,19033,0,0,0,0,0,0,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,04,"BOSTON, MA",2017,01,15,664724,137955,0,0,137955,670358,132905,652358,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,07,"OGDENSBURG, NY",2017,01,21,384145,223643,0,0,0,0,0,0,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,09,"BUFFALO, NY",2017,01,16,281465,132590,0,0,0,0,0,0,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,10,"NEW YORK CITY, NY",2017,01,203,7745208,3064623,25240,200,3039383,7868066,2970914,7735683,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,13,"BALTIMORE, MD",2017,01,33,946177,370502,0,0,370502,948226,339879,872290,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,14,"NORFOLK, VA",2017,01,103,3073873,1323789,0,0,1323789,3162536,1312789,3126536,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,15,"WILMINGTON, NC",2017,01,1,39223,4000,0,0,4000,39323,0,0,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,16,"CHARLESTON, SC",2017,01,132,4799973,2001601,0,0,2001601,4829794,1986601,4753227,2017,01,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,17,"SAVANNAH, GA",2017,01,104,3246807,1043992,0,0,1043992,3285300,986742,3073585,2017,01,3915100000
