E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,02,"ST. ALBANS, VT",2016,06,3,39658,16935,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,04,"BOSTON, MA",2016,06,18,816780,203389,0,0,203389,820043,192389,784043,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,07,"OGDENSBURG, NY",2016,06,23,311543,227569,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,09,"BUFFALO, NY",2016,06,25,395043,231219,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,10,"NEW YORK CITY, NY",2016,06,214,9008924,4874816,0,0,4874816,9074723,4825460,8876971,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,11,"PHILADELPHIA, PA",2016,06,0,0,0,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,13,"BALTIMORE, MD",2016,06,26,662014,247066,0,0,247066,665000,243566,664964,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,14,"NORFOLK, VA",2016,06,88,5634133,7164896,0,0,7164896,5664271,7133296,5582806,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,15,"WILMINGTON, NC",2016,06,8,385917,201717,0,0,201717,386376,46033,212082,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,16,"CHARLESTON, SC",2016,06,66,1776958,625722,0,0,625722,1813284,597323,1717774,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,17,"SAVANNAH, GA",2016,06,88,2823204,2789833,0,0,2789833,2862419,2771118,2811616,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,18,"TAMPA, FL",2016,06,35,1188893,411897,0,0,411897,1196369,392390,1120147,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,19,"MOBILE, AL",2016,06,10,181635,61671,0,0,61671,182927,58671,163513,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,20,"NEW ORLEANS, LA",2016,06,0,0,0,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,23,"LAREDO, TX",2016,06,17,266798,110537,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,24,"EL PASO, TX",2016,06,12,152179,87922,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,25,"SAN DIEGO, CA",2016,06,7,124367,58174,0,0,25000,85686,25000,85686,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,27,"LOS ANGELES, CA",2016,06,598,20851435,10788305,24951,118,10763354,21112134,10224555,19447197,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,28,"SAN FRANCISCO, CA",2016,06,71,3844700,2541419,0,0,2541419,3987665,2172838,3054318,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,29,"COLUMBIA-SNAKE, OR",2016,06,1,20576,5000,0,0,5000,20576,5000,20576,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,30,"SEATTLE, WA",2016,06,106,2904044,1737963,0,0,1401410,2213090,906410,2193276,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,31,"ANCHORAGE, AK",2016,06,0,0,0,0,0,0,0,0,0,2016,06,3915100000
3915100000,KG,-,-,TOTAL FOR ALL COUNTRIES,33,"GREAT FALLS, MT",2016,06,2,47055,19677,0,0,0,0,0,0,2016,06,3915100000
