E_COMMODITY,UNIT_QY1,UNIT_QY2,CTY_CODE,CTY_NAME,DISTRICT,DIST_NAME,YEAR,MONTH,CC_MO,QTY_1_MO,ALL_VAL_MO,AIR_VAL_MO,AIR_WGT_MO,VES_VAL_MO,VES_WGT_MO,CNT_VAL_MO,CNT_WGT_MO,YEAR,MONTH,E_COMMODITY
3915100000,KG,-,0003,EUROPEAN UNION,-,TOTAL FOR ALL DISTRICTS,2021,11,19,340465,1056467,23098,45,1033369,372050,233369,352182,2021,11,3915100000
3915100000,KG,-,0014,PACIFIC RIM COUNTRIES,-,TOTAL FOR ALL DISTRICTS,2021,11,190,6649711,3016342,3580,268,3012762,6688935,3009762,6672247,2021,11,3915100000
3915100000,KG,-,0017,CAFTA-DR,-,TOTAL FOR ALL DISTRICTS,2021,11,32,1970117,1863815,0,0,1863815,1975284,1832615,1933984,2021,11,3915100000
3915100000,KG,-,0020,NAFTA,-,TOTAL FOR ALL DISTRICTS,2021,11,171,3646710,2084176,0,0,11520,18144,11520,18144,2021,11,3915100000
3915100000,KG,-,0021,TWENTY LATIN AMERICAN REPUBLICS,-,TOTAL FOR ALL DISTRICTS,2021,11,116,4072930,3047599,0,0,2524096,2928422,2492896,2887122,2021,11,3915100000
3915100000,KG,-,0022,OECD,-,TOTAL FOR ALL DISTRICTS,2021,11,208,4807441,3545103,23098,45,1449349,1209720,649349,1189852,2021,11,3915100000
3915100000,KG,-,0023,NATO,-,TOTAL FOR ALL DISTRICTS,2021,11,137,3620741,2982844,18918,40,1414773,1175572,614773,1155704,2021,11,3915100000
3915100000,KG,-,0024,LAFTA,-,TOTAL FOR ALL DISTRICTS,2021,11,84,2102813,1183784,0,0,660281,953138,660281,953138,2021,11,3915100000
3915100000,KG,-,0025,EURO AREA,-,TOTAL FOR ALL DISTRICTS,2021,11,15,340428,1037549,4180,5,1033369,372050,233369,352182,2021,11,3915100000
3915100000,KG,-,0026,APEC,-,TOTAL FOR ALL DISTRICTS,2021,11,431,12159280,5843677,3580,268,3767441,8577276,3755241,8484213,2021,11,3915100000
3915100000,KG,-,0027,ASEAN,-,TOTAL FOR ALL DISTRICTS,2021,11,243,8021679,3422421,0,0,3422421,8061605,3410221,7968542,2021,11,3915100000
3915100000,KG,-,0028,CACM,-,TOTAL FOR ALL DISTRICTS,2021,11,31,1930117,1807815,0,0,1807815,1935284,1776615,1893984,2021,11,3915100000
