"Standard Report - Exports"
"Current date: 04/18/2024 12:52 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2008","1,687,815"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2009","1,288,308"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2010","917,041"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2011","949,362"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2012","717,351"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2013","523,720"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2014","535,556"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2015","549,587"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2016","765,252"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2017","712,492"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2018","892,140"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2019","1,327,769"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2020","665,280"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2021","868,001"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2022","1,186,530"
"World Total","7204290000 Alloy Steel Waste And Scrap Not Stainless (t)","2023","708,201"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","1995","88,421"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","1996","50,651"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","1997","78,885"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","1998","111,018"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","1999","94,264"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2000","126,808"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2001","92,979"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2002","118,702"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2003","189,975"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2004","83,440"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2005","73,761"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2006","74,695"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2007","437,286"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2008","140,947"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2009","112,405"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2010","92,250"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2011","142,261"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2012","153,857"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2013","146,583"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2014","117,916"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2015","80,601"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2016","61,512"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2017","76,535"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2018","63,245"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2019","94,729"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2020","115,600"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2021","117,693"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2022","83,920"
"World Total","7204300000 Tinned Iron Or Steel Waste And Scrap (t)","2023","91,765"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","1995","188,835"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","1996","110,050"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","1997","90,897"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","1998","19,657"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","1999","42,163"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2000","52,468"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2001","22,292"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2002","68,679"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2003","189,669"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2004","301,065"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2005","330,819"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2006","203,761"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2007","128,719"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2008","248,116"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2009","308,431"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2010","311,147"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2011","526,575"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2012","426,289"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2013","357,486"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2014","254,866"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2015","241,913"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2016","179,831"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2017","223,823"
"World Total","7204410020 No 1 Bundles Steel Scrap (t)","2018","29,535"
