"Standard Report - Exports"
"Current date: 04/18/2024 1:10 PM (Eastern Daylight Time)"
"Country","Commodity","Time","Quantity 1",
"World Total","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2021","1,380,387"
"World Total","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2022","1,579,838"
"World Total","4707200020 High-grade Deinking Waste Paper And Paperboard (t)","2023","1,453,891"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1995","903,731"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1996","670,207"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1997","782,801"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1998","782,092"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","1999","722,351"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2000","857,622"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2001","494,062"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2002","429,481"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2003","529,974"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2004","730,008"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2005","767,690"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2006","810,724"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2007","1,112,673"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2008","1,219,614"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2009","1,939,267"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2010","1,863,516"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2011","1,969,649"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2012","1,376,362"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2013","1,392,256"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2014","1,127,589"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2015","864,959"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2016","1,096,474"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2017","758,765"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2018","1,127,833"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2019","1,063,600"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2020","426,629"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2021","373,350"
"World Total","4707200040 Waste/scrap ppr/pprbd, Blch Chem Pulp, Not Colored (t)","2022","446,609"
